row_id,teamAttack,teamDefense,date,Level,Comp,Zone,Origin,Start,Pass,Ruck,Clear,Contest,Score,Retain NEG,Retain Gain 1,Retain Gain +1,Retain Score,Retain HR neg,Retain HR Static,Retain HR Gain 1,Retain HR Gain +1,Lose gain neg,Lose Static,Lose Gain 1,Lose Gain +1,Lose HR neg,Lose HR Static,Lose HR Gain 1,Lose HR Gain +1,OUTCOME,game_id,retainedPosession,lostPosession,map_dic,time,outcome_score,related_score,team_scored,passRuckRatio,nextOrigin,play,time_bin
5175,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Restart,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,1,24.38,-1.5047282071981662,52,FRA,1.0,Lineout,Kick for Touch,25.0
5176,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,6,24.42,1.5228937207803992,52,FRA,inf,Kick fielded,,25.0
5177,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Kick fielded,1,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,2,25.04,-1.8342070974972258,52,FRA,0.0,Kick fielded,Kick for Position,25.0
5178,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Kick fielded,1,13.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,2,26.68,3.0,52,FRA,2.1666666666666665,Penalty,Passing Play,25.0
5179,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Penalty,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,7,26.68,3.0,52,FRA,,Restart,Penalty Goal Attempt,25.0
5180,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Restart,1,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,1,27.12,0.6331234507668645,61,FRA,0.0,Lineout,Kick for Touch,25.0
5181,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lose,0,0.0,1.0,6,27.12,-0.6331234507668645,61,FRA,,Turnover,,25.0
5182,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Turnover,1,11.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,3,28.85,1.063866751000906,61,FRA,1.5714285714285714,Penalty,Pick and Go Long,30.0
5183,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,7,29.11,1.1501704503128023,61,FRA,,Lineout,Kick for Touch,30.0
5184,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Lineout,1,0.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,6,29.11,1.1501704503128023,61,FRA,,Restart,,30.0
5185,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Restart,1,4.0,3.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,1,29.82,1.4232032615310024,61,FRA,1.3333333333333333,Scrum,Pick and Go Short,30.0
5186,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Scrum,1,2.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lose,0,0.0,1.0,4,30.09,-1.5432801967031105,61,FRA,2.0,Penalty,,30.0
5187,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,7,31.37,2.2657597860277563,61,FRA,,Lineout,Kick for Touch,30.0
5188,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Lineout,1,5.0,0.0,0.0,0.0,7,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,6,35.13,7.0,61,FRA,inf,Restart,Passing Play,35.0
5189,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Restart,1,2.0,5.0,1.0,1.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,1,36.37,-0.11377162975151996,77,FRA,0.4,Kick fielded,Kick for Position,35.0
5190,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Kick fielded,1,5.0,1.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,2,37.03,0.1386833381509025,77,FRA,5.0,Kick fielded,Kick for Position,35.0
5191,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Kick fielded,1,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,2,37.34,-0.1521996569398598,77,FRA,inf,Lineout,Kick for Touch,35.0
5192,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,2.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,6,38.62,0.22345123256181731,77,FRA,2.0,Restart,,40.0
5193,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Restart,1,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,1,38.62,0.22345123256181731,77,FRA,,Lineout,,40.0
